,content,score,label,sentiment,length,num_word,encoded
10,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
11,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
12,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
13,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
14,hơi mỏng nhưng mùa hè tạm ổn chun cần bố hơn,4,1,neutral,44,11,"[[ 7  8 15 22 23 24 25 26 27 28 29  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
15,mỏng nhỏ,4,1,neutral,8,2,"[[ 8 30  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
16,sản phẩm tốt hợp túi tiền,4,1,neutral,25,6,"[[ 3 31 32 33  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
17,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
18,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
19,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
20,tả mõng quá,1,0,negative,11,3,"[[14 34 35  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
21,khách nói tả dùng ok nha,5,2,positive,24,6,"[[36 37 14 21 17 13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
22,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
23,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
24,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
25,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
26,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
27,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
28,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
29,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
30,,3,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
31,,2,0,negative,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
32,,1,0,negative,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
33,sản phẩm tốt bé nhà mình uống rất hợp không bị bón,5,2,positive,50,12,"[[ 3 31 12 38 39 40 41 32 42 43  1  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
34,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
35,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
36,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
37,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
38,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
39,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
40,hàng okela nhé các cô chú có điều đóng hộp hơi sơ sài thôii,5,2,positive,59,14,"[[44  1 18 45  1  1 46  1  1  7  1  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
41,chất lượng sản phẩm tuyệt vời bé uống 1hop thấy mũm mĩm hơn và ko bị táo nữa sp tuyệt vời nay được tặng quà rất thích,5,2,positive,117,27,"[[ 2  3  4 12 40  1 47  1 29 48 49 43 50 51 52  4 53 54 55 56 41 57  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
42,sữa khá dễ uống bé uống fiso ma đổi qua dùng thử bé vẫn chịu nhưng hop lớn k có tem như hop nhỏ,5,2,positive,95,24,"[[58 59 60 40 12 40  1 61 62 63 21 64 12 65 66 15 67 68 69 46 70 71 67 30
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
43,chất lượng sản phẩm tuyệt vời tuy dong hàng chua kỹ hộp méo mó sản phẩm rất tốt bé nhà mình uống va da tăng cân ngủ ngon chống táo bón,5,2,positive,134,31,"[[ 2  3  4 72 73 44 74 75 76 77  3 41 31 12 38 39 40  1 78 79 80 81 82 83
  84  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
44,sua rất tốt bé thich uống uống nhiều ngu ngon thật co qua cute nhưng ma được 3bình nước ui lần sao co mua nua đổi qua khac được ko,5,2,positive,130,30,"[[ 1 41 31 12 85 40 40 86  1 82 87 88 63  1 15 61 54  1 89 90 91 92 88 93
   1 62 63  1 54 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
45,đóng gói sản phẩm rất đẹp và chắc chắn mua hộp 900g được tặng kèm quà,5,2,positive,69,16,"[[94  3 41 95 48 96 93 76  1 54 55 97 56  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
46,đóng gói sản phẩm rất đẹp và chắc chắn bé mình rất thích sữa thơm ngon dễ uống mong ncc có món quà nho nhỏ cho khách hàng vui,5,2,positive,125,29,"[[ 94   3  41  95  48  96  12  39  41  57  58  98  82  60  40  99 100  46
  101  56   1 102 103 104   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
47,khách bảo con ti bình tí là hết sữa ngon,5,2,positive,40,10,"[[ 36 105 106 107 108   1 109 110  58  82   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
48,sữa rất ngon bé thích uống và có kèm quà tặng,5,2,positive,45,11,"[[58 41 82 12 57 40 48 46 97 56 55  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
49,sp be uống thích nhưng ma giao hàng hơi lâu du cho cách lấy hang nhanh nhất,5,2,positive,75,17,"[[ 52 111  40  57  15  61 112  44   7 113   1 102 114 115 116 117 118   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
50,đóng gói hộp sữa trong bị méo,5,2,positive,29,7,"[[ 94  76  58 119  43 120   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
51,sản phẩm tốt mua lại mờ hết hàng,5,2,positive,32,8,"[[  3  31  93 121   1 110  44   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
52,chất lượng sản phẩm tuyệt vời đóng gói chắc chắn giao hàng nhanh,5,2,positive,64,13,"[[  2   3   4  94  96 112  44 117   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
53,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
54,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
55,thời gian giao hàng rất nhanh,5,2,positive,29,6,"[[122 112  44  41 117   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
56,đóng gói sản phẩm rất đẹp và chắc giao nhanh ok lắm,5,2,positive,51,12,"[[ 94   3  41  95  48 123 112 117  17 124   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
57,thời gian giao hàng rất nhanh,5,2,positive,29,6,"[[122 112  44  41 117   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
58,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
59,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
60,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
61,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
62,khách sử dụng sữa bên selly khen rất tốt so với sữa bên ngoài,5,2,positive,61,14,"[[ 36 125  58 126 127 128  41  31 129  10  58 126 130   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
63,khách ưng hy vọng shop luôn làm việc tận tâm,5,2,positive,44,10,"[[ 36 131 132 133 134 135 136   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
64,sữa thơm con mình thích uống,5,2,positive,28,6,"[[ 58  98 106  39  57  40   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
65,chất lượng sản phẩm tuyệt vời bé thích uốn lên kg ko thì chưa bt,5,2,positive,64,15,"[[  2   3   4  12  57 137 138 139  49 140 141   1   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
66,sp tốt khuyên các mom nên dùng nhé bé nhà mình rất thích,5,2,positive,56,13,"[[ 52  31   1  45 142 143  21  18  12  38  39  41  57   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
67,sữa đúng mô tả ạ,5,2,positive,16,5,"[[ 58 144 145 146   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
68,đơn đang đặt giao hàng lâu quá mất khách mat,5,2,positive,44,10,"[[147 148 149 112  44 113  35 150  36   1   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
69,shop ơi sau đợt này giao hàng lâu vậy khách hối quá ui huhuh,5,2,positive,60,14,"[[133 151 152 153 154 112  44 113 155  36   1  35  90   1   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
70,sữa thơm và ngon lần trước được tặng bình nước lần này không có,5,2,positive,63,14,"[[ 58  98  48  82  91 156  54  55 108  89  91 154  42  46   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
71,sữa chất lượng ok bé uống rất tốt không bị táo bón giao hàng nhanh,5,2,positive,66,15,"[[ 58   2  17  12  40  41  31  42  43  84 112  44 117   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
72,hàng đóng gói chắc chắn đẹp còn được tặng quà nói chung là ok,5,2,positive,61,14,"[[ 44  94  96  95 157  54  55  56 158 109  17   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
73,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
74,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
75,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
76,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
77,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
78,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
79,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
80,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
81,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
82,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
83,đóng gói sản phẩm rất đẹp và chắc chắn sp bé dùng thích rất đáng tiền,5,2,positive,69,16,"[[ 94   3  41  95  48  96  52  12  21  57  41 159 160   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
84,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
85,thời gian giao hàng rất nhanh,5,2,positive,29,6,"[[122 112  44  41 117   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
86,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
87,đóng gói sản phẩm rất đẹp và chắc chắn còn nhận đc quà tặng rất chi là hài lòng,5,2,positive,79,19,"[[ 94   3  41  95  48  96 157 161 162  56  55  41 163 109 164   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
88,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
89,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
90,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
91,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
92,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
93,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
94,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
95,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
96,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
97,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
98,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
99,dùng rất tốt bé ăn ngon miệng sữa dễ uống giá thì cao hơn so với trên nắp hộp,4,1,neutral,77,19,"[[ 21  41  31  12 165 166  58  60  40 167 140 168  29 129  10 169 170  76
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
